game_id_play_id,frame_id,event,ball_x,ball_y,time,x,y,s,a,dis,o,dir,nfl_id,display_name,jersey_number,position,team,game_id,play_id,play_direction,dir_rad,v_x,v_y,v_theta,x_start,x_end,special_teams_result,returner_id,returner_id_2,returner_x,returner_y,returner_o,returner_s,returner_v_theta,returner_team,dis_to_ball,x_rel_to_ball,y_rel_to_ball,dis_to_returner,x_rel_to_returner,y_rel_to_returner,x_returner_to_ball,y_returner_to_ball,pred_downed,pred_fair_catch,pred_muffed,pred_out_of_bounds,pred_return,pred_touchback
2018102810_351,34,punt,77.56,29.32,2018-10-28T20:36:42Z,77.34,29.56,1.97,2.21,0.21,232.24,68.03,46216,Micah Kiser,59,LB,home,2018102810,351,left,1.1873474901317425,1.8269383458997717,0.7370185074209507,0.3834488366631542,71,35,Out of Bounds,NA,31517,22.25,30.6,99.5,1.36,-0.5248205060746941,away,0.3255764119219922,-0.21999999999999886,0.23999999999999844,55.324809082363764,55.09,-1.0400000000000027,-55.31,1.2800000000000011,0.06206746031746033,0.18418650793650795,0.010535714285714284,0.5076468253968252,0.1600753968253968,0.07548809523809524
2018102810_351,35,punt,75.96,28.92,2018-10-28T20:36:43Z,77.12,28.3,2.09,3.47,0.2,204.57,8.08,42461,Ramik Wilson,52,ILB,home,2018102810,351,left,0.14102260356114182,0.29376128741275903,2.0692521127251746,1.4297737232337548,71,35,Out of Bounds,NA,31517,22.14,30.67,99.5,1.33,-0.5251695719250928,away,1.3152946437966004,1.1600000000000108,-0.620000000000001,53.84844380295497,54.980000000000004,-2.370000000000001,-53.81999999999999,1.75,0.03538492063492063,0.20688888888888887,0.01861111111111111,0.48689285714285696,0.16927777777777778,0.08294444444444446
2018102810_351,36,punt,74.21,28.45,2018-10-28T20:36:43Z,77.13,28.51,2.18,3.37,0.22,206.15,358.55,42461,Ramik Wilson,52,ILB,home,2018102810,351,left,6.257878033025669,-0.0551639688468537,2.179301937901461,-1.5454890526409792,71,35,Out of Bounds,NA,31517,22.02,30.74,100.3,1.27,-0.535641547437059,away,2.9206163733020483,2.9200000000000017,0.060000000000002274,52.240216308893665,55.11,-2.229999999999997,-52.19,2.289999999999999,0.06132936507936509,0.2256746031746032,0.007833333333333333,0.49417063492063484,0.15440476190476193,0.05658730158730159
2018102810_351,37,punt,72.4,27.94,2018-10-28T20:36:43Z,74.46,31.37,3.71,4.36,0.35,272.36,254.71,44938,Samson Ebukam,50,OLB,home,2018102810,351,left,4.445528137754756,-3.5786788302997015,-0.9783444329911425,0.2668608426299335,71,35,Out of Bounds,NA,31517,21.92,30.79,102.05,1.19,-0.43895030687657294,away,4.001062358924183,2.059999999999988,3.4299999999999997,50.56038864565818,52.53999999999999,0.5800000000000018,-50.480000000000004,2.849999999999998,0.04477380952380952,0.16136904761904763,0.020361111111111115,0.5946230158730159,0.1316785714285714,0.04719444444444445
2018102810_351,38,punt,70.48,27.35,2018-10-28T20:36:43Z,74.07,31.27,4.19,3.84,0.4,269.09,255.32,44938,Samson Ebukam,50,OLB,home,2018102810,351,left,4.456174646191922,-4.053222780004638,-1.0618310108729543,0.2562143341927678,71,35,Out of Bounds,NA,31517,21.81,30.83,105.46,1.07,-0.27576202181510445,away,5.315496213901381,3.589999999999989,3.919999999999998,48.79425478475924,52.25999999999999,0.4400000000000013,-48.67,3.479999999999997,0.03706349206349206,0.09921031746031746,0.005555555555555556,0.600234126984127,0.16331349206349202,0.09462301587301586
2018102810_351,39,punt,68.54,26.73,2018-10-28T20:36:43Z,73.64,31.15,4.61,3.26,0.44,266.34,255.22,44938,Samson Ebukam,50,OLB,home,2018102810,351,left,4.454429316939928,-4.4574666115900845,-1.1760490663911993,0.257959663444762,71,35,Out of Bounds,NA,31517,21.71,30.84,109.1,0.97,0.05742133239061361,away,6.748807302034924,5.099999999999994,4.419999999999998,47.010009572430434,51.93,0.3099999999999987,-46.830000000000005,4.109999999999999,0.06507539682539684,0.13340873015873017,0.0051111111111111105,0.6164206349206349,0.13030555555555556,0.049678571428571426
2018102810_351,40,punt,66.57,26.06,2018-10-28T20:36:43Z,73.18,31.03,4.99,2.77,0.48,265.14,254.99,44938,Samson Ebukam,50,OLB,home,2018102810,351,left,4.450415059660341,-4.819744389270512,-1.2923482588278696,0.26197392072434866,71,35,Out of Bounds,NA,31517,21.62,30.8,112.11,1.02,0.542099265669439,away,8.270006045947015,6.610000000000014,4.970000000000002,45.19922676329761,51.56,0.23000000000000043,-44.94999999999999,4.740000000000002,0.06941666666666667,0.14044047619047617,0.0075,0.6093293650793652,0.09802777777777777,0.07528571428571428
2018102810_351,41,punt,64.61,25.33,2018-10-28T20:36:43Z,72.67,30.89,5.43,2.7,0.53,265.14,254.54,44938,Samson Ebukam,50,OLB,home,2018102810,351,left,4.442561078026366,-5.233525147679121,-1.447451045324241,0.2698279023583236,71,35,Out of Bounds,NA,31517,21.54,30.71,119.75,1.28,0.9410815326753427,away,9.79169035458128,8.060000000000002,5.560000000000002,43.404715181648186,51.13,0.17999999999999972,-43.07,5.380000000000003,0.060500000000000005,0.11235714285714282,0.01076190476190476,0.6324007936507937,0.1179722222222222,0.06600793650793652
2018102810_351,42,punt,62.65,24.58,2018-10-28T20:36:43Z,72.13,30.74,5.77,2.35,0.56,261.55,254.51,44938,Samson Ebukam,50,OLB,home,2018102810,351,left,4.442037479250768,-5.560416754063545,-1.5409949776457514,0.27035150113392187,71,35,Out of Bounds,NA,31517,21.47,30.59,128.19,1.6,1.1828096340765573,away,11.305573846559048,9.479999999999997,6.16,41.61625283467987,50.66,0.14999999999999858,-41.18,6.010000000000002,0.07485714285714286,0.12963888888888886,0.010873015873015873,0.6287103174603175,0.12223015873015874,0.03369047619047619
2018102810_351,43,punt,60.84,23.75,2018-10-28T20:36:43Z,53.26,15.79,9.88,3.06,0.99,276.21,274.59,35953,Sam Shields,37,CB,home,2018102810,351,left,4.792499593051229,-9.848313462997,0.790646529463103,-0.08011061266653899,71,35,Out of Bounds,NA,31517,21.42,30.41,137.99,2.03,1.3337806143740665,away,10.991724159566601,-7.580000000000005,-7.960000000000001,39.97864429917553,31.839999999999996,-14.620000000000001,-39.42,6.66,0.10150793650793652,0.14301984126984124,0.011746031746031744,0.5120119047619047,0.13104365079365077,0.10067063492063491
2018102810_351,44,punt,59.06,22.92,2018-10-28T20:36:43Z,52.26,15.84,10.01,2.92,1.01,275.39,272.42,35953,Sam Shields,37,CB,home,2018102810,351,left,4.754625948282953,-10.001072600203004,0.42266635242079753,-0.04223696789826352,71,35,Out of Bounds,NA,31517,21.39,30.17,137.99,2.61,1.4728833557580148,away,9.816638936010639,-6.800000000000004,-7.080000000000002,38.36132688007546,30.869999999999997,-14.330000000000002,-37.67,7.25,0.10182142857142856,0.14345238095238094,0.008194444444444443,0.5430992063492064,0.10846428571428572,0.09496825396825397
2018102810_351,45,punt,57.36,22.07,2018-10-28T20:36:44Z,51.25,15.87,10.05,2.59,1.01,274.44,270.89,35953,Sam Shields,37,CB,home,2018102810,351,left,4.727922410727439,-10.048787554901757,0.1561046970836452,-0.01553343034274927,71,35,Out of Bounds,NA,31517,21.38,29.88,149.5,3.16,1.5629423451609223,away,8.704717112003124,-6.109999999999999,-6.200000000000001,36.817882883185995,29.87,-14.01,-35.980000000000004,7.809999999999999,0.15470238095238092,0.1779285714285714,0.0280515873015873,0.4108531746031747,0.1295238095238095,0.0989404761904762
2018102810_351,46,punt,55.77,21.2,2018-10-28T20:36:44Z,50.23,15.86,10.11,2.67,1.02,275.34,268.7,35953,Sam Shields,37,CB,home,2018102810,351,left,4.689699700108763,-10.10739778025248,-0.22936894242082506,0.02268928027592683,71,35,Out of Bounds,NA,31517,21.39,29.54,150.9,3.62,-1.5121532639278867,away,7.694621498163511,-5.540000000000006,-5.34,35.37711124441904,28.839999999999996,-13.68,-34.38,8.34,0.13255952380952382,0.08926984126984128,0.03395238095238095,0.6373253968253967,0.07489285714285714,0.03200000000000001
2018102810_351,47,punt,54.28,20.31,2018-10-28T20:36:44Z,49.22,15.81,10.08,2.73,1.01,276.89,266.74,35953,Sam Shields,37,CB,home,2018102810,351,left,4.6554912467696745,-10.06368814677717,-0.5732197522911179,0.05689773361501534,71,35,Out of Bounds,NA,31517,21.43,29.15,150.9,4.06,-1.4561281949388696,away,6.771528630966571,-5.060000000000002,-4.499999999999998,34.0186434179848,27.79,-13.339999999999998,-32.85,8.84,0.08227380952380953,0.07360317460317461,0.015333333333333332,0.7399206349206351,0.08386904761904762,0.005
2018102810_351,48,punt,52.89,19.42,2018-10-28T20:36:44Z,48.2,15.73,10.1,2.85,1.02,276.89,264.56,35953,Sam Shields,37,CB,home,2018102810,351,left,4.617443069076198,-10.054509822191687,-0.9575135693299017,0.09494591130849202,71,35,Out of Bounds,NA,31517,21.49,28.72,147.7,4.54,-1.4107496343870167,away,5.967595830818302,-4.689999999999998,-3.6900000000000013,32.74828239770752,26.710000000000004,-12.989999999999998,-31.400000000000002,9.299999999999997,0.09769841269841267,0.09752777777777774,0.006583333333333333,0.7080119047619047,0.07613095238095238,0.014047619047619047
2018102810_351,49,punt,51.6,18.52,2018-10-28T20:36:44Z,47.2,15.61,10.05,2.91,1.01,278.4,262.64,35953,Sam Shields,37,CB,home,2018102810,351,left,4.583932747437907,-9.967196411854438,-1.2874376441272901,0.12845623294678285,71,35,Out of Bounds,NA,31517,21.58,28.25,150.98,4.92,-1.3765411810479278,away,5.275234591939963,-4.399999999999999,-2.91,31.557460290714147,25.620000000000005,-12.64,-30.020000000000003,9.73,0.11173015873015871,0.052357142857142866,0,0.7554166666666668,0.08049603174603175,0
2018102810_351,50,punt,50.39,17.62,2018-10-28T20:36:44Z,46.19,15.45,10.07,3.14,1.02,278.4,260.16,35953,Sam Shields,37,CB,home,2018102810,351,left,4.540648581988449,-9.921858515160354,-1.7209368393813886,0.17174039839624128,71,35,Out of Bounds,NA,31517,21.69,27.75,148.58,5.23,-1.3493140447168166,away,4.727462321372856,-4.200000000000003,-2.1700000000000017,30.43529037154073,24.499999999999996,-12.3,-28.7,10.129999999999999,0.15228571428571425,0.039301587301587296,0.00625,0.7087460317460318,0.07247222222222223,0.020944444444444443
2018102810_351,51,punt,49.27,16.72,2018-10-28T20:36:44Z,45.2,15.24,10.01,3.31,1.01,275.05,257.77,35953,Sam Shields,37,CB,home,2018102810,351,left,4.498935212865783,-9.78282416015323,-2.1204837777078693,0.21345376751890674,71,35,Out of Bounds,NA,31517,21.82,27.2,145.13,5.64,-1.3329079497480691,away,4.330738966966261,-4.07,-1.4799999999999986,29.382527120722617,23.380000000000003,-11.959999999999999,-27.450000000000003,10.48,0.13078174603174603,0.04017063492063491,0,0.7725833333333334,0.04751984126984127,0.008944444444444444
2018102810_351,52,punt,48.23,15.83,2018-10-28T20:36:44Z,44.23,14.99,9.96,3.59,1,272.69,254.98,35953,Sam Shields,37,CB,home,2018102810,351,left,4.450240526735141,-9.619720808630458,-2.5811957624330235,0.2621484536495491,71,35,Out of Bounds,NA,31517,21.96,26.63,145.87,5.92,-1.3189453157321145,away,4.0872484632084705,-4,-0.8399999999999999,28.403395923727143,22.269999999999996,-11.639999999999999,-26.269999999999996,10.799999999999999,0.11809920634920636,0.03504365079365079,0.0022222222222222222,0.8115119047619048,0.028623015873015873,0.0045000000000000005
2018102810_351,53,punt,47.24,14.93,2018-10-28T20:36:44Z,43.27,14.7,9.91,3.61,1,272.69,252.49,35953,Sam Shields,37,CB,home,2018102810,351,left,4.406781828360483,-9.45081473081304,-2.981643996832492,0.30560715202420696,71,35,Out of Bounds,NA,31517,22.1,26.03,146.81,6.18,-1.3199925132833115,away,3.976656887386689,-3.969999999999999,-0.23000000000000043,27.48144101025272,21.17,-11.330000000000002,-25.14,11.100000000000001,0.060027777777777756,0.020123015873015872,0.0044444444444444444,0.8768650793650794,0.03153968253968254,0.006999999999999999
2018102810_351,54,punt,46.32,14.05,2018-10-28T20:36:44Z,42.33,14.37,9.85,3.72,1,269.96,249.78,35953,Sam Shields,37,CB,home,2018102810,351,left,4.359483405631436,-9.242968472696209,-3.404413872128932,0.3529055747532539,71,35,Out of Bounds,NA,31517,22.26,25.42,148.46,6.38,-1.3168509206297214,away,4.002811511925088,-3.990000000000002,0.3199999999999985,26.611285200080058,20.069999999999997,-11.050000000000002,-24.06,11.370000000000001,0.048138888888888884,0.02912301587301587,0.0044444444444444444,0.8510436507936509,0.04825,0.019
